Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
DeMar DeRozan,1,7:24,34.7,16,40,1,0,2,5,12,41.7,1,2,50.0,5,6,4,Chuma Okeke
Devin Booker,1,6:28,33.7,7,35,3,1,0,2,6,33.3,1,2,50.0,2,2,1,Chuma Okeke
Buddy Hield,2,6:29,31.1,3,25,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Chuma Okeke
Jalen McDaniels,2,5:00,27.8,8,28,1,0,0,3,5,60.0,0,1,0.0,2,2,1,Chuma Okeke
Luka Doncic,2,6:10,27.4,4,23,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Chuma Okeke
Jordan Poole,1,4:19,20.7,0,15,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Chuma Okeke
LaMelo Ball,1,4:24,20.2,2,18,2,1,0,1,3,33.3,0,2,0.0,0,0,0,Chuma Okeke
Anthony Edwards,1,3:40,18.2,4,21,2,1,0,2,4,50.0,0,1,0.0,0,0,0,Chuma Okeke
Maxi Kleber,2,3:55,18.2,2,23,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chuma Okeke
Justin Holiday,1,2:19,13.6,6,16,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Chuma Okeke
Spencer Dinwiddie,2,2:18,13.3,5,20,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Chuma Okeke
Rudy Gobert,1,2:41,13.3,3,24,0,0,0,1,2,50.0,0,0,0.0,1,2,0,Chuma Okeke
P.J. Washington,2,1:56,12.9,5,16,2,0,1,2,4,50.0,1,1,100.0,0,0,0,Chuma Okeke
D'Angelo Russell,1,2:23,12.6,0,9,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Chuma Okeke
Andrew Wiggins,1,1:53,11.1,4,11,0,0,0,2,4,50.0,0,0,0.0,0,1,1,Chuma Okeke
Kelly Oubre Jr.,2,1:37,11.1,6,15,0,0,0,2,4,50.0,0,1,0.0,2,2,1,Chuma Okeke
Trey Lyles,1,1:58,10.5,3,10,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Chuma Okeke
Klay Thompson,1,1:51,10.1,0,10,0,0,1,0,3,0.0,0,2,0.0,0,0,0,Chuma Okeke
Dwight Powell,2,2:02,9.9,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Terry Rozier,1,2:13,9.9,0,13,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Chuma Okeke
Jalen Smith,2,1:02,9.6,5,21,0,0,0,2,2,100.0,0,0,0.0,1,2,1,Chuma Okeke
Reggie Bullock,2,1:59,9.5,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Chuma Okeke
Immanuel Quickley,1,1:28,9.3,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chuma Okeke
Myles Turner,2,1:42,9.0,2,17,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Chuma Okeke
Theo Maledon,2,1:35,8.4,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Chuma Okeke
Josh Giddey,1,1:21,8.4,7,9,1,0,0,3,4,75.0,0,1,0.0,1,1,1,Chuma Okeke
Harrison Barnes,1,1:29,8.3,2,17,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chuma Okeke
Bennedict Mathurin,2,1:24,8.1,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Christian Wood,1,1:27,8.1,3,10,0,1,0,1,3,33.3,0,1,0.0,1,1,1,Chuma Okeke
Hamidou Diallo,1,1:17,8.1,2,13,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Chuma Okeke
Josh Green,2,1:29,8.1,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chuma Okeke
Cory Joseph,1,0:56,8.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Tari Eason,1,1:47,8.0,3,12,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Chuma Okeke
Keegan Murray,1,1:48,7.9,0,7,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Chuma Okeke
Sam Hauser,1,1:27,7.8,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Chuma Okeke
Cam Reddish,1,1:11,7.8,2,3,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Chuma Okeke
Tyrese Haliburton,2,1:05,7.6,4,17,4,0,0,2,3,66.7,0,1,0.0,0,0,0,Chuma Okeke
Karl-Anthony Towns,1,1:21,7.1,6,13,0,0,0,3,4,75.0,0,0,0.0,0,0,0,Chuma Okeke
Kenyon Martin Jr.,1,1:12,6.8,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Grant Williams,1,0:60,6.5,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Ousmane Dieng,1,1:17,6.5,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Damion Lee,1,1:02,6.4,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Mark Williams,1,0:58,6.2,4,17,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Chuma Okeke
Jaden McDaniels,1,0:54,6.1,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chuma Okeke
Patrick Williams,1,0:43,5.9,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
Tim Hardaway Jr.,2,1:37,5.8,0,7,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Chuma Okeke
James Bouknight,1,0:48,5.7,3,12,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Chuma Okeke
JaMychal Green,1,1:03,5.6,4,4,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Chuma Okeke
Nick Richards,2,1:12,5.5,2,9,0,0,0,1,1,100.0,0,0,0.0,0,1,1,Chuma Okeke
Mason Plumlee,2,1:12,5.5,4,6,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Chuma Okeke
